Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Vášeň,8/11/2020,12:30,8/11/2020,14:43,False,"Jean-Luc Godard / Švýcarsko, Francie 1982 / 88 min. / 15 let / DCP
„Spíše než narativním filmem je Vášeň esejem o uměleckém procesu, v tomto případě o procesu, při němž vzniká film, s poznámkami o výtvarném umění, hudbě, filmech, pracovních vztazích, filmové distribuci a lásce, navíc s několika vtipy.“
https://www.csfd.cz/film/35176-passion/prehled/
https://www.imdb.com/title/tt0084481/reference
https://program.lfs.cz/detail/?film=Passion","Uherské Hradiště, Slovácké divadlo"
Divadlo NaHraně: Brutál,8/7/2020,20:30,8/7/2020,22:10,False,"100 min.

https://program.lfs.cz/detail/?film=NaHran%c4%9b-Theatre--Brutality","Uherské Hradiště, Redside zóna Kolejní n."
Veselka,8/8/2020,9:00,8/8/2020,10:52,False,"Andrzej Wajda / Polsko 1972 / 102 min. / DCP
Veršované vyprávění o jedné zdánlivě bujaré veselce v Polsku z přelomu 19. a 20. století, které je současně podobenstvím o polském národě a jeho dějinách. Slavná divadelní hra polského umělce Stanisława Wyspiańského ve strhujícím ztvárnění Andrzeje Wajdy.
https://www.csfd.cz/film/35222-veselka/prehled/
https://www.imdb.com/title/tt0069492/?ref_=nm_flmg_dr_36
https://program.lfs.cz/detail/?film=The-Wedding","Uherské Hradiště, Kino Hvězda"
Veselka,8/11/2020,16:00,8/11/2020,17:52,False,"Andrzej Wajda / Polsko 1972 / 102 min. / DCP
Veršované vyprávění o jedné zdánlivě bujaré veselce v Polsku z přelomu 19. a 20. století, které je současně podobenstvím o polském národě a jeho dějinách. Slavná divadelní hra polského umělce Stanisława Wyspiańského ve strhujícím ztvárnění Andrzeje Wajdy.
https://www.csfd.cz/film/35222-veselka/prehled/
https://www.imdb.com/title/tt0069492/?ref_=nm_flmg_dr_36
https://program.lfs.cz/detail/?film=The-Wedding","Uherské Hradiště, Sportovní hala"
Showrunners: Jak se řídí seriál,8/8/2020,14:00,8/8/2020,15:38,False,"Des Doyle / USA, Irsko 2014 / 88 min. / Blu-ray
Za autora filmového díla bývá obvykle dle principů auteurské teorie považován jeho režisér. Ve světě současné americké kvalitní televize jsou ale autory producenti, scenáristé a autoři námětů. A někteří z nich se stanou ultimátním bossem – showrunnerem.
https://www.csfd.cz/film/339060-showrunners-the-art-of-running-a-tv-show
https://www.imdb.com/title/tt1942971/fullcredits/?ref_=tt_ov_st_sm
https://program.lfs.cz/detail/?film=Showrunners--The-Art-of-Running-a-TV-Show","Uherské Hradiště, Kino Mír"
Showrunners: Jak se řídí seriál,8/11/2020,10:00,8/11/2020,11:38,False,"Des Doyle / USA, Irsko 2014 / 88 min. / Blu-ray
Za autora filmového díla bývá obvykle dle principů auteurské teorie považován jeho režisér. Ve světě současné americké kvalitní televize jsou ale autory producenti, scenáristé a autoři námětů. A někteří z nich se stanou ultimátním bossem – showrunnerem.
https://www.csfd.cz/film/339060-showrunners-the-art-of-running-a-tv-show
https://www.imdb.com/title/tt1942971/fullcredits/?ref_=tt_ov_st_sm
https://program.lfs.cz/detail/?film=Showrunners--The-Art-of-Running-a-TV-Show","Uherské Hradiště, Kino Mír"
Janek Rubeš otevírá šapitó Skautského institutu,8/7/2020,18:00,8/7/2020,19:30,False,"90 min.
Happening a beseda s Jankem Rubešem o tom, jak z města vyhnat podvodné taxikáře a veksláky. Jak začínal se svým pořadem Honest Guide, jestli má rád trdelník a jaké rady by dal někomu, kdo chce změnit svoje město k lepšímu.
https://program.lfs.cz/detail/?film=Janek-Rube%c5%a1-Opens-SI-Circus-Tent","Uherské Hradiště, Šapitó Skautského institutu"
Herec,8/12/2020,12:30,8/12/2020,17:00,False,"Peter Bebjak / Česká republika 2020 / 225 min. / 15 let / DCP
Třídílná minisérie Herec režiséra Petera Bebjaka se vrací do padesátých let v Československu a představuje divákovi příběh divadelního herce, který byl donucen zneužívat svou homosexuální orientaci ve prospěch režimu, aby vůbec mohl hrát.
https://www.csfd.cz/film/803690-herec/galerie/?type=1
https://program.lfs.cz/detail/?film=Actor","Uherské Hradiště, Slovácké divadlo"
Cesta filmaře,8/9/2020,18:00,8/9/2020,19:00,False,"60 min.
Divadelní režisér, dramatik, herec a moderátor vloni zaujal svým filmovým debutem Vlastníci, pod nímž je podepsán jako scenárista a režisér. Příběh vychází ze hry Společenstvo vlastníků, kterou Havelka také napsal a režíroval a uvádí s divadelním souborem VOSTO5. Debata o procesu vzniku filmu, o rozdílech divadelního a filmového režírování a psaní a dalších aspektech jeho tvorby.
https://program.lfs.cz/detail/?film=Filmmakers%e2%80%99s-Journey","Uherské Hradiště, Stan ČT"
Bourák,8/7/2020,23:00,8/8/2020,0:45,False,"Ondřej Trojan / Česká republika, Slovensko 2020 / 105 min. / DCP
Rock’n’rollovou kulturou padesátých let prodchnutá hudební komedie s prvky gangsterky, situovaná do fiktivního pohraničního města severních Čech, vypráví příběh Bouráka, náruživého automechanika a milovníka Elvise, který by pro ojetou káru zaprodal vlastní ženu a dceru.
https://www.csfd.cz/film/735100-bourak/prehled/
https://www.imdb.com/title/tt10404324/reference
https://program.lfs.cz/detail/?film=Bour%c3%a1k","Uherské Hradiště, Redside zóna Kolejní n."
Brunch s hostem: Založ SI fórum,8/8/2020,11:00,8/8/2020,12:00,False,"60 min.
Jak můžeš s partou kamarádů/ek vzpružit občanskou společnost? Inspirativní panelová debata se zástupci regionálních fór Skautského institutu, u které si s námi dáš pořádnou pozdní snídani. Občerstvení je zdarma.
https://program.lfs.cz/detail/?film=Brunch-with-Guests--Create-an-SI-Forum","Uherské Hradiště, Šapitó Skautského institutu"
Jakub Szántó: Z Izrastiny s láskou,8/8/2020,18:00,8/8/2020,19:00,False,"60 min.
Ve své druhé knize se ostřílený reportér a laureát ceny Magnesia Litera vyznává z hluboké náklonnosti k Izraeli, Palestině a jejich obyvatelům. S pomocí výrazných příběhů, barvitého popisu čtvrtstoletí orientálních zkušeností i líčení historického kontextu usiluje o nabourání leckdy schematického vnímání neklidného regionu.
https://program.lfs.cz/detail/?film=Jakub-Sz%c3%a1nt%c3%b3--Z-Izrastiny-s-l%c3%a1skou","Uherské Hradiště, Dětský/literární stan"
Neznámý vojín: Danny Kaye,8/9/2020,14:30,8/9/2020,15:30,False,"60 min.
Danny Kaye (1911-1987) patří mezi populární americké umělce, jejichž existence nám zůstala dlouhou dobu utajena. I to byl jeden z důvodů, proč jsme se rozhodli zařadit jeho profil do cyklu Neznámý vojín. Filmovou část jeho tvorby tvoří zhruba dvacítka celovečerních snímků, několik kraťasů a různá televizní vystoupení, což je ve srovnání s jinými matadory hollywoodské továrny na sny poměrně málo. Protože se výběr filmů na letošní LFŠ ukázal jako poměrně komplikovaný, doplníme jej hodinovou přednáškou o původu a dobových souvislostech Kayeho tvorby, v níž ukázkami z jeho výstupů chceme podtrhnout Kayeovy mimořádné bavičské vlohy.
https://program.lfs.cz/detail/?film=Unknown-Soldier--Danny-Kaye","Uherské Hradiště, Klub kultury 2"
Lidová píseň tradičně i netradičně,8/11/2020,19:00,8/11/2020,21:00,False,"120 min.

https://program.lfs.cz/detail/?film=Old-and-New-Interpretations-of-Folk-Songs","Uherské Hradiště, Skanzen Rochus"
Cinekoncert: O lidech ve výjimečných časech,8/11/2020,21:00,8/11/2020,22:30,False,"90 min. / HD file
Unikátní komponovaný program spojující film a hudbu, v jehož rámci budou uvedeny krátké filmy režírované Hannou Schygullovou (některé ve světové premiéře) s jejími šansonovými pěveckými vstupy a hudebním doprovodem známé sicilské hudebnice Etty Scollové.
https://program.lfs.cz/detail/?film=Cineconcert--Of-People-in-Exception-Times","Uherské Hradiště, Kino Hvězda"
DJs Husha & Wawakal (Bassta Fidli Crew / UH),8/9/2020,23:30,8/10/2020,4:00,False,"270 min.

https://program.lfs.cz/detail/?film=DJs-Husha-%26-Wawakal-(Bassta-Fidli-Crew-%2f-UH)","Uherské Hradiště, Klub Mír"
Herecký workshop: Závěrečné vystoupení,8/12/2020,13:00,8/12/2020,14:00,False,"60 min.
Představíme rodičům, co jsme se na hereckém workshopu společně naučili, a předvedeme třeba to, jak vyjí vlci nebo jak se peče bábovka. Třídenní dřina vyvrcholí představením, které děti nazkoušely na hereckém workshopu.
https://program.lfs.cz/detail/?film=Drama-Class--Final-Performance-(Theatre)","Uherské Hradiště, Dětský/literární stan"
Malí fotografové,8/8/2020,9:30,8/8/2020,12:30,False,"180 min.
Zvány jsou děti od sedmi do dvanácti let, které láká tajemství analogové fotografie. Seznámí se s rozdílem mezi digitálními a klasickými analogovými fotoaparáty, naučí se technickým dovednostem a budou rozvíjet své estetické vnímání. Pozor, kapacita je omezená. Pro děti od 7 do 12 let, kapacita 12 dětí. Přihlašujte se na e-mailové adrese lucie.korena@lfs.cz

.
https://program.lfs.cz/detail/?film=Young-Photographers","Uherské Hradiště, Dětský/literární stan"
Prezentace nových filmů,8/8/2020,19:30,8/8/2020,21:00,False,"90 min.
Přijďte se seznámit s novými českými filmy, které v současné době připravují debutující režiséři. Jaká témata nové filmaře zajímají? S jakými překážkami se začínající filmař musí potýkat?
https://program.lfs.cz/detail/?film=Presentation-of-New-Films","Uherské Hradiště, Respekt stan"
Studentský blok C,8/11/2020,18:00,8/11/2020,19:38,False,"Česká republika / 98 min. / HD file
Pestrý výběr třetího bloku studentských filmů obsahuje jeden dokument, dva animované filmy a dva hrané filmy. Pětice úspěšných snímků nabízí sofistikovanou filmovou rekonstrukci i příběh z periferie společnosti.
https://program.lfs.cz/detail/?film=Student%c2%b4s-Block-C","Uherské Hradiště, Kino Mír"
Film&Klima Re-generace,8/11/2020,17:00,8/11/2020,18:30,False,"90 min.
Dva krátké filmy (Ekohrátky na doma, 1992, rež. Ivan Stříteský a Vaše děti budou jako my, 2018, rež. Tomáš Hlaváček) z dílny studentů FAMU a z fondu Národního filmového archivu spojuje touha po změně směrem k ochraně životního prostředí a udržitelnému životu v tomto prostředí. Po projekci následuje panelová diskuse se zástupci FAMU pro klima, NFA Klimaskupiny, hnutí Limity jsme my a odborné veřejnosti.
https://program.lfs.cz/detail/?film=Film%26Climate-Re-generation","Uherské Hradiště, Respekt stan"
Slavnostní zahájení + Havel,8/7/2020,19:00,8/7/2020,21:57,False,"Slávek Horák / Česká republika, Slovensko 2020 / 102 min. / DCP
Slavnostní zahájení 46. Letní filmové školy, jehož součástí bude festivalová premiéra filmu Havel. Jedenadvacet let v životě Václava Havla. Kterak se z úspěšného dramatika na konci šedesátých let stává v letech sedmdesátých disident a bojovník za lidská práva a na sklonku let osmdesátých prezident země. Jak se z bezstarostného bohéma stane zralý muž?
https://www.csfd.cz/film/762583-havel/prehled/
https://www.imdb.com/title/tt9471930/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Opening-Ceremony-%2b-Havel","Uherské Hradiště, Kino Hvězda"
Atlantida,8/9/2020,9:30,8/9/2020,11:26,False,"Valentyn Vasjanovyč / Ukrajina 2019 / 106 min. / 15 let / DCP
Je rok 2025 a válka s Ruskem o okupovaná území konečně skončila vítězstvím Ukrajiny. Zbraně sice dořinčely, ale válka v lidech žije dál. Znepokojivé drama z blízké budoucnosti se špetkou naděje uprostřed nedozírné postapokalyptické krajiny.
https://www.csfd.cz/film/764845-atlantida/prehled/
https://www.imdb.com/title/tt10749786/reference
https://program.lfs.cz/detail/?film=Atlantis","Uherské Hradiště, Klub kultury 1"
Atlantida,8/11/2020,16:00,8/11/2020,17:56,False,"Valentyn Vasjanovyč / Ukrajina 2019 / 106 min. / 15 let / DCP
Je rok 2025 a válka s Ruskem o okupovaná území konečně skončila vítězstvím Ukrajiny. Zbraně sice dořinčely, ale válka v lidech žije dál. Znepokojivé drama z blízké budoucnosti se špetkou naděje uprostřed nedozírné postapokalyptické krajiny.
https://www.csfd.cz/film/764845-atlantida/prehled/
https://www.imdb.com/title/tt10749786/reference
https://program.lfs.cz/detail/?film=Atlantis","Uherské Hradiště, Kino Hvězda"
Musíme si pomáhat aneb Co nabídnou podzimní filmové festivaly,8/12/2020,10:00,8/12/2020,11:30,False,"90 min.
Koronavirus zasáhl do letošní filmové sezóny jako dělová koule. Některé akce zrušil těsně před začátkem, jiné v průběhu, některé se posunuly v čase, další se pro letošek zrušily úplně. Zástupcům festivalů, které se ještě letos budou konat, jsme se rozhodli dát prostor, ať vás mohou pozvat na své krásné akce, tak neváhejte a přijďte – čeká nás zajímavá podzimní filmová sezóna a je třeba začít plánovat.
https://program.lfs.cz/detail/?film=Divided-We-Fall-or-the-Programmes-of-Autumn-Film-Festivals","Uherské Hradiště, Respekt stan"
Šťastný smolař,8/12/2020,16:00,8/12/2020,17:37,False,"Jiří Strach / Česká republika, Slovensko 2012 / 97 min.
Filipa už od narození pronásleduje smůla. Jeho otec chtěl totiž přechytračit samotnou Štěstěnu a tím na sebe a hlavně na svého synka přivolal její hněv. A aby toho nebylo málo, Filip se zamiluje do Štěstěniny dcery Haničky. Ve snaze získat její lásku a zbavit se smůly se vydává na putování světem.
https://program.lfs.cz/detail/?film=The-Lucky-Loser-(Film)","Uherské Hradiště, Dětský/literární stan"
Ostrov snů,8/9/2020,17:00,8/9/2020,18:00,False,"60 min.
Svět nemění dobré nápady, ale lidé, kteří mají odvahu začít. Zkoušet to, dělat chyby, hrát si. Nejdříve je dobré vědět, co tě doopravdy baví, co je pro tebe důležité. Co je tvůj sen a o čem jen tak mluvíš u piva. Zajímá tě to? Zahraj si s námi hru Ostrov snů. Získáš inspiraci, zpětnou vazbu a zjistíš víc o tom, co tě doopravdy zajímá.
https://program.lfs.cz/detail/?film=The-Isle-of-Dreams","Uherské Hradiště, Šapitó Skautského institutu"
V síti,8/10/2020,13:30,8/10/2020,15:55,False,"Barbora Chalupová, Vít Klusák / Česká republika, Slovensko 2020 / 100 min. / 15 let / DCP
Tvůrci mrazivého dokumentu o zneužívání dětí na internetu nahlížejí do fiktivních dětských pokojíků, v nichž tři dospělé herečky se vzezřením dvanáctiletých dívek vystupují jako volavky lákající sexuální predátory. Během deseti dnů se ve virtuální síti chytilo 2458 lovců.
https://www.csfd.cz/film/720753-v-siti/prehled/
https://www.imdb.com/title/tt11900404/reference
https://program.lfs.cz/detail/?film=Caught-in-the-Net","Uherské Hradiště, Klub kultury 1"
V síti,8/12/2020,23:00,8/13/2020,0:40,False,"Barbora Chalupová, Vít Klusák / Česká republika, Slovensko 2020 / 100 min. / 15 let / DCP
Tvůrci mrazivého dokumentu o zneužívání dětí na internetu nahlížejí do fiktivních dětských pokojíků, v nichž tři dospělé herečky se vzezřením dvanáctiletých dívek vystupují jako volavky lákající sexuální predátory. Během deseti dnů se ve virtuální síti chytilo 2458 lovců.
https://www.csfd.cz/film/720753-v-siti/prehled/
https://www.imdb.com/title/tt11900404/reference
https://program.lfs.cz/detail/?film=Caught-in-the-Net","Uherské Hradiště, Redside zóna Kolejní n."
Buster Keaton 5: Cesta tam (a zase zpátky) (hudba: Raw Deal),8/12/2020,13:00,8/12/2020,14:56,False,"USA / 106 min.
Jak lze vidět na filmech Frigo ve člunu a Frigo na mašině, Keaton uměl podobně soustavnou prací s dopravním prostředkem a motivem cesty docílit značně odlišných účinků. Ať už jde o rodinný výlet plný absurdních situací, anebo o historický velkofilm o občanské válce.
https://program.lfs.cz/detail/?film=Buster-Keaton-5--There-(and-Back-Again)-(music--Raw-Deal)","Uherské Hradiště, Kino Hvězda"
Probuzení,8/7/2020,22:00,8/7/2020,23:35,False,"Jiří Krejčík / ČSR 1959 / 95 min. / DVD
Režisér Jiří Krejčík na sklonku padesátých let natočil snímek, který tehdejší kritika nepřijala příliš vlídně a šmahem jej odsoudila jako „jen“ jeden a poslední z tzv. chuligánské série. Šlo při tom o velmi precizně natočený film o milostném trojúhelníku mezi Jitkou, Vildou a Tonkem.
https://www.csfd.cz/film/5333-probuzeni/prehled/
https://www.imdb.com/title/tt0173057/reference
https://program.lfs.cz/detail/?film=Awakening","Uherské Hradiště, Letní kino Smetanovy sady"
Rozcvička: Jóga s Evou,8/9/2020,10:00,8/9/2020,11:00,False,"60 min.
Chceš se poránu trochu protáhnout? Ať už jsi předchozí večer strávil/a jakkoli, jogínka Eva ti pomůže nastartovat tělo do dalšího festivalového dne.
https://program.lfs.cz/detail/?film=Warm-up--Yoga-with-Eva","Uherské Hradiště, Šapitó Skautského institutu"
CreWcollective: Moving Orchestra,8/9/2020,14:00,8/9/2020,14:50,False,"50 min.
Představení, které obydluje tancem a hudbou nejrůznější používané nebo nepoužívané prostory, venkovní i vnitřní, industriální, historické, architektonicky zajímavé či úplně zapomenuté. Tentokrát vás provedeme Smetanovými sady až k vernisáži fotografií Karla Cudlína: Izrael ve Slováckém muzeu. Sraz před hlavním vchodem do kina Hvězda.
https://program.lfs.cz/detail/?film=CreWcollective--Moving-Orchestra","Uherské Hradiště, Smetanovy sady"
Sviňa,8/10/2020,23:00,8/11/2020,0:40,False,"Mariana Čengel Solčanská, Rudolf Biermann / Česká republika, Slovensko 2020 / 100 min. / DCP
Neúprosný akční thriller inspirovaný bestsellerem Arpáda Soltésze reflektuje na pozadí smyšleného příběhu ožehavé kauzy současné slovenské společnosti – vraždu Jána Kuciaka a Martiny Kušnírové nebo aktivity kontroverzního podnikatele Mariána Kočnera.
https://www.csfd.cz/film/780357-svina/prehled/
https://www.imdb.com/title/tt11239374/reference
https://program.lfs.cz/detail/?film=Scumbag","Uherské Hradiště, Redside zóna Kolejní n."
Barvy Nabarveného ptáčete,8/11/2020,15:00,8/11/2020,16:30,False,"90 min.
Konec zní přímo pohádkově – hlavní soutěž na mezinárodním filmovém festivalu v Benátkách, širší nominace na Oscara, devět Českých lvů. Co ale vzniku bezmála tříhodinového černobílého historického dramatu Nabarvené ptáče předcházelo? Jedenáct let práce a dřiny, nadějí i propadů. Jak se získávají práva na světový bestseller? Jak se do českého filmu shánějí světové hvězdy? Jak se financuje jeden z nejdražších českých filmů všech dob? A hlavně, jak to všechno vydržet – psychicky i fyzicky? Otázky pro klíčovou osobu projektu – scenáristu, režiséra a producenta Václava Marhoula.
https://program.lfs.cz/detail/?film=The-Painted-Bird-in-Paints","Uherské Hradiště, Respekt stan"
Studentský blok B,8/10/2020,10:00,8/10/2020,12:06,False,"Česká republika, Slovensko / 81 min. / HD file
Silný dětský hrdina, který se rozhodne vzepřít systému či vzdorovat autoritám, je zaštiťujícím tématem druhého bloku studentských filmů. Nabízí čtyři audiovizuálně poutavé příběhy, kde je hlavním motivem právě dítě, i když třeba nemá hlavní roli.
https://program.lfs.cz/detail/?film=Student%c2%b4s-Block-B","Uherské Hradiště, Kino Mír"
Lekce filmu podle Anny Geislerové,8/10/2020,18:00,8/10/2020,19:30,False,"90 min.
Poprvé se před filmovou kamerou objevila ve čtrnácti letech jako samotářská Tráva v hořké komedii Ondřeje Trojana Pějme píseň dohola (1990). Následně zazářila jako vlastním otcem znásilněná Marika v psychologickém dramatu Filipa Renče Requiem pro panenku (1991). Rázem se stala jednou z nejvyhledávanějších a divácky nejoblíbenějších českých hereček. Hlavní role ztvárnila mj. ve filmech Jízda (1994), Výchova dívek v Čechách (1997), Želary (2003), Kráska v nesnázích (2006), Líbánky (2013) či Polednice (2016). Je držitelkou pěti Českých lvů!
https://program.lfs.cz/detail/?film=Masterclass-with-Anna-Geislerov%c3%a1","Uherské Hradiště, Respekt stan"
Údolí včel,8/8/2020,16:30,8/8/2020,18:51,False,"František Vláčil / ČSSR 1967 / 96 min. / DCP
O Údolí včel se často hovoří jako o Vláčilově vedlejším projektu, který měl zúročit mimořádný produkční vklad Československého státního filmu do Markety Lazarové. Film se v květnu 1968 setkal s rozpačitým přijetím nejen ze strany diváků, ale i kritiky, která se nedokázala odpoutat od teprve půl roku starého vjemu z monumentální vančurovské adaptace.
https://www.csfd.cz/film/9353-udoli-vcel/prehled/
https://www.imdb.com/title/tt0122770/reference
https://program.lfs.cz/detail/?film=The-Valley-of-the-Bees","Uherské Hradiště, Slovácké divadlo"
Milostné písně,8/11/2020,15:00,8/11/2020,16:32,False,"Bohdan Karásek / Česká republika 2013 / 47 min. / HD file
Náhodné setkání dávných známých, starší ženy a mladšího muže, na ulici ústí ve skromné večerní bytové posezení. Nenucený, všednodenní dialog domácích a jejich hosta postupně graduje v pointu objasňující společnou enigmatickou minulost protagonistů.
https://www.csfd.cz/film/361610-milostne-pisne/prehled/
https://www.imdb.com/title/tt3605316/reference
https://program.lfs.cz/detail/?film=Love-Songs","Uherské Hradiště, Reduta"
Bobři v plamenech,8/7/2020,21:00,8/7/2020,22:00,False,"60 min.
Co se stane, když se skupina skautů ztratí v lese a hnaní deštěm objeví podezřelý zámek? Poprvé se zde setkávají s erotickým, směšným, znepokojivým, ale přesto zvláštně krásným světem dospělosti. Tváří v tvář tajnostem a přetvářce projde jejich přátelství zkouškou ohněm. Režisér Martin Kuba a kameraman Filip Rejč uvedou svůj autorský krátký film.
https://program.lfs.cz/detail/?film=Night-on-Fire","Uherské Hradiště, Šapitó Skautského institutu"
Romance pro křídlovku,8/10/2020,22:00,8/10/2020,23:24,False,"Otakar Vávra / ČSR 1966 / 84 min. / DVD
Jeden z nejodvážnějších filmových počinů Otakara Vávry v šedesátých letech, adaptace básnického textu Františka Hrubína Romance pro křídlovku do filmové řeči, se režisérovi opravdu vyplatila. Natočil jeden ze svých vrcholných filmů, pojednávající o první letní lásce mladého Vojty ve skvělém podání začínajícího Jaromíra Hanzlíka.
https://www.csfd.cz/film/9483-romance-pro-kridlovku/prehled/
https://www.imdb.com/title/tt0060910/reference
https://program.lfs.cz/detail/?film=Romance-for-the-Bugle","Uherské Hradiště, Letní kino Smetanovy sady"
